StationName,ParameterName,ReadingDate,Value,Zone
Woodcroft,Sulphur Dioxide,2025-05-19T16:00:00-06:00,0.0,ACA
Woodcroft,Outdoor Temperature,2025-05-19T16:00:00-06:00,8.3,ACA
Woodcroft,Relative Humidity,2025-05-19T16:00:00-06:00,63.1,ACA
Woodcroft,Nitric Oxide,2025-05-19T16:00:00-06:00,0.0,ACA
Woodcroft,Total Oxides of Nitrogen,2025-05-19T16:00:00-06:00,0.002,ACA
Woodcroft,Wind Speed,2025-05-19T15:00:00-06:00,14.0,ACA
Woodcroft,Sulphur Dioxide,2025-05-19T15:00:00-06:00,0.0,ACA
Woodcroft,Nitric Oxide,2025-05-19T15:00:00-06:00,0.0,ACA
Woodcroft,Fine Particulate Matter,2025-05-19T15:00:00-06:00,3.6,ACA
Woodcroft,Total Oxides of Nitrogen,2025-05-19T15:00:00-06:00,0.003,ACA
Woodcroft,Ozone,2025-05-19T15:00:00-06:00,0.025,ACA
Woodcroft,Wind Direction,2025-05-19T15:00:00-06:00,125.0,ACA
Woodcroft,Nitrogen Dioxide,2025-05-19T15:00:00-06:00,0.003,ACA
Woodcroft,,2025-05-19T15:00:00-06:00,2.0,ACA
Woodcroft,Outdoor Temperature,2025-05-19T15:00:00-06:00,7.8,ACA
Woodcroft,Relative Humidity,2025-05-19T15:00:00-06:00,66.0,ACA
Woodcroft,Ozone,2025-05-19T14:00:00-06:00,0.024,ACA
Woodcroft,Wind Direction,2025-05-19T14:00:00-06:00,120.0,ACA
Woodcroft,Wind Speed,2025-05-19T14:00:00-06:00,12.3,ACA
Woodcroft,,2025-05-19T14:00:00-06:00,2.0,ACA
Woodcroft,Outdoor Temperature,2025-05-19T14:00:00-06:00,7.4,ACA
Woodcroft,Sulphur Dioxide,2025-05-19T14:00:00-06:00,0.0,ACA
Woodcroft,Relative Humidity,2025-05-19T14:00:00-06:00,68.9,ACA
Woodcroft,Nitric Oxide,2025-05-19T14:00:00-06:00,0.001,ACA
Woodcroft,Nitrogen Dioxide,2025-05-19T14:00:00-06:00,0.002,ACA
Woodcroft,Total Oxides of Nitrogen,2025-05-19T14:00:00-06:00,0.003,ACA
Woodcroft,Fine Particulate Matter,2025-05-19T14:00:00-06:00,5.9,ACA
Woodcroft,Wind Speed,2025-05-19T13:00:00-06:00,14.9,ACA
Woodcroft,Relative Humidity,2025-05-19T13:00:00-06:00,72.9,ACA
Woodcroft,Sulphur Dioxide,2025-05-19T13:00:00-06:00,0.0,ACA
Woodcroft,Outdoor Temperature,2025-05-19T13:00:00-06:00,6.6,ACA
Woodcroft,Nitrogen Dioxide,2025-05-19T13:00:00-06:00,0.002,ACA
Woodcroft,Total Oxides of Nitrogen,2025-05-19T13:00:00-06:00,0.003,ACA
Woodcroft,Ozone,2025-05-19T13:00:00-06:00,0.024,ACA
Woodcroft,Wind Direction,2025-05-19T13:00:00-06:00,120.0,ACA
Woodcroft,,2025-05-19T13:00:00-06:00,2.0,ACA
Woodcroft,Fine Particulate Matter,2025-05-19T13:00:00-06:00,8.2,ACA
Woodcroft,Nitric Oxide,2025-05-19T13:00:00-06:00,0.0,ACA
Woodcroft,Wind Speed,2025-05-19T12:00:00-06:00,17.0,ACA
Woodcroft,Relative Humidity,2025-05-19T12:00:00-06:00,76.5,ACA
Woodcroft,Ozone,2025-05-19T12:00:00-06:00,0.025,ACA
Woodcroft,Sulphur Dioxide,2025-05-19T12:00:00-06:00,0.0,ACA
Woodcroft,Total Oxides of Nitrogen,2025-05-19T12:00:00-06:00,0.003,ACA
Woodcroft,Outdoor Temperature,2025-05-19T12:00:00-06:00,6.3,ACA
Woodcroft,Nitric Oxide,2025-05-19T12:00:00-06:00,0.001,ACA
Woodcroft,Nitrogen Dioxide,2025-05-19T12:00:00-06:00,0.002,ACA
Woodcroft,Wind Direction,2025-05-19T12:00:00-06:00,131.0,ACA
Woodcroft,,2025-05-19T12:00:00-06:00,2.0,ACA
Woodcroft,Fine Particulate Matter,2025-05-19T12:00:00-06:00,2.5,ACA
Woodcroft,Ozone,2025-05-19T11:00:00-06:00,0.026,ACA
Woodcroft,Wind Direction,2025-05-19T11:00:00-06:00,136.0,ACA
Woodcroft,Total Oxides of Nitrogen,2025-05-19T11:00:00-06:00,0.003,ACA
Woodcroft,Nitric Oxide,2025-05-19T11:00:00-06:00,0.0,ACA
Woodcroft,Fine Particulate Matter,2025-05-19T11:00:00-06:00,4.0,ACA
Woodcroft,,2025-05-19T11:00:00-06:00,2.0,ACA
Woodcroft,Outdoor Temperature,2025-05-19T11:00:00-06:00,6.2,ACA
Woodcroft,Nitrogen Dioxide,2025-05-19T11:00:00-06:00,0.002,ACA
Woodcroft,Wind Speed,2025-05-19T11:00:00-06:00,17.5,ACA
Woodcroft,Sulphur Dioxide,2025-05-19T11:00:00-06:00,0.0,ACA
Woodcroft,Relative Humidity,2025-05-19T11:00:00-06:00,74.6,ACA
Woodcroft,Fine Particulate Matter,2025-05-19T10:00:00-06:00,4.3,ACA
Woodcroft,,2025-05-19T10:00:00-06:00,2.0,ACA
Woodcroft,Relative Humidity,2025-05-19T10:00:00-06:00,68.6,ACA
Woodcroft,Wind Direction,2025-05-19T10:00:00-06:00,138.0,ACA
Woodcroft,Outdoor Temperature,2025-05-19T10:00:00-06:00,6.5,ACA
Woodcroft,Ozone,2025-05-19T10:00:00-06:00,0.028,ACA
Woodcroft,Sulphur Dioxide,2025-05-19T10:00:00-06:00,0.0,ACA
Woodcroft,Total Oxides of Nitrogen,2025-05-19T10:00:00-06:00,0.002,ACA
Woodcroft,Wind Speed,2025-05-19T10:00:00-06:00,18.5,ACA
Woodcroft,Nitric Oxide,2025-05-19T10:00:00-06:00,0.0,ACA
Woodcroft,Nitrogen Dioxide,2025-05-19T10:00:00-06:00,0.002,ACA
Woodcroft,Ozone,2025-05-19T09:00:00-06:00,0.03,ACA
Woodcroft,Wind Direction,2025-05-19T09:00:00-06:00,148.0,ACA
Woodcroft,Sulphur Dioxide,2025-05-19T09:00:00-06:00,0.0,ACA
Woodcroft,Total Oxides of Nitrogen,2025-05-19T09:00:00-06:00,0.002,ACA
Woodcroft,Nitric Oxide,2025-05-19T09:00:00-06:00,0.0,ACA
Woodcroft,Fine Particulate Matter,2025-05-19T09:00:00-06:00,3.0,ACA
Woodcroft,,2025-05-19T09:00:00-06:00,2.0,ACA
Woodcroft,Wind Speed,2025-05-19T09:00:00-06:00,16.5,ACA
Woodcroft,Nitrogen Dioxide,2025-05-19T09:00:00-06:00,0.002,ACA
Woodcroft,Outdoor Temperature,2025-05-19T09:00:00-06:00,6.0,ACA
Woodcroft,Relative Humidity,2025-05-19T09:00:00-06:00,70.1,ACA
Woodcroft,Ozone,2025-05-19T08:00:00-06:00,0.029,ACA
Woodcroft,Sulphur Dioxide,2025-05-19T08:00:00-06:00,0.0,ACA
Woodcroft,Wind Speed,2025-05-19T08:00:00-06:00,14.1,ACA
Woodcroft,Wind Direction,2025-05-19T08:00:00-06:00,152.0,ACA
Woodcroft,,2025-05-19T08:00:00-06:00,2.0,ACA
Woodcroft,Total Oxides of Nitrogen,2025-05-19T08:00:00-06:00,0.002,ACA
Woodcroft,Fine Particulate Matter,2025-05-19T08:00:00-06:00,5.2,ACA
Woodcroft,Nitric Oxide,2025-05-19T08:00:00-06:00,0.0,ACA
Woodcroft,Outdoor Temperature,2025-05-19T08:00:00-06:00,5.9,ACA
Woodcroft,Relative Humidity,2025-05-19T08:00:00-06:00,71.4,ACA
Woodcroft,Nitrogen Dioxide,2025-05-19T08:00:00-06:00,0.002,ACA
Woodcroft,Sulphur Dioxide,2025-05-19T07:00:00-06:00,0.0,ACA
Woodcroft,Outdoor Temperature,2025-05-19T07:00:00-06:00,6.0,ACA
Woodcroft,Ozone,2025-05-19T07:00:00-06:00,0.03,ACA
Woodcroft,Relative Humidity,2025-05-19T07:00:00-06:00,71.2,ACA
Woodcroft,Wind Direction,2025-05-19T07:00:00-06:00,156.0,ACA
