Value,StationName,ParameterName,ReadingDate,Zone
1.1,Breton,Wind Speed,2026-02-14T03:00:00-07:00,WCAS
0.0,Breton,Sulphur Dioxide,2026-02-14T03:00:00-07:00,WCAS
0.004,Breton,Nitrogen Dioxide,2026-02-14T03:00:00-07:00,WCAS
0.024,Breton,Ozone,2026-02-14T03:00:00-07:00,WCAS
82.1,Breton,Relative Humidity,2026-02-14T03:00:00-07:00,WCAS
341.0,Breton,Wind Direction,2026-02-14T03:00:00-07:00,WCAS
0.002,Breton,Total Oxides of Nitrogen,2026-02-14T02:00:00-07:00,WCAS
-7.9,Breton,Outdoor Temperature,2026-02-14T02:00:00-07:00,WCAS
0.0,Breton,Nitric Oxide,2026-02-14T02:00:00-07:00,WCAS
0.0,Breton,Sulphur Dioxide,2026-02-14T02:00:00-07:00,WCAS
0.7,Breton,Wind Speed,2026-02-14T02:00:00-07:00,WCAS
82.0,Breton,Wind Direction,2026-02-14T02:00:00-07:00,WCAS
80.8,Breton,Relative Humidity,2026-02-14T02:00:00-07:00,WCAS
0.025,Breton,Ozone,2026-02-14T02:00:00-07:00,WCAS
0.003,Breton,Nitrogen Dioxide,2026-02-14T02:00:00-07:00,WCAS
99.0,Breton,Wind Direction,2026-02-14T01:00:00-07:00,WCAS
79.6,Breton,Relative Humidity,2026-02-14T01:00:00-07:00,WCAS
0.028,Breton,Ozone,2026-02-14T01:00:00-07:00,WCAS
0.6,Breton,Wind Speed,2026-02-14T01:00:00-07:00,WCAS
0.0,Breton,Sulphur Dioxide,2026-02-14T01:00:00-07:00,WCAS
0.0,Breton,Nitric Oxide,2026-02-14T01:00:00-07:00,WCAS
0.003,Breton,Nitrogen Dioxide,2026-02-14T01:00:00-07:00,WCAS
-7.3,Breton,Outdoor Temperature,2026-02-14T01:00:00-07:00,WCAS
0.003,Breton,Total Oxides of Nitrogen,2026-02-14T01:00:00-07:00,WCAS
0.0,Breton,Sulphur Dioxide,2026-02-14T00:00:00-07:00,WCAS
324.0,Breton,Wind Direction,2026-02-14T00:00:00-07:00,WCAS
0.9,Breton,Wind Speed,2026-02-14T00:00:00-07:00,WCAS
0.029,Breton,Ozone,2026-02-14T00:00:00-07:00,WCAS
-5.6,Breton,Outdoor Temperature,2026-02-14T00:00:00-07:00,WCAS
0.003,Breton,Total Oxides of Nitrogen,2026-02-14T00:00:00-07:00,WCAS
0.003,Breton,Nitrogen Dioxide,2026-02-14T00:00:00-07:00,WCAS
72.6,Breton,Relative Humidity,2026-02-14T00:00:00-07:00,WCAS
0.0,Breton,Nitric Oxide,2026-02-14T00:00:00-07:00,WCAS
-4.0,Breton,Outdoor Temperature,2026-02-13T23:00:00-07:00,WCAS
0.0,Breton,Sulphur Dioxide,2026-02-13T23:00:00-07:00,WCAS
324.0,Breton,Wind Direction,2026-02-13T23:00:00-07:00,WCAS
69.2,Breton,Relative Humidity,2026-02-13T23:00:00-07:00,WCAS
1.0,Breton,Wind Speed,2026-02-13T23:00:00-07:00,WCAS
0.0,Breton,Nitric Oxide,2026-02-13T23:00:00-07:00,WCAS
0.032,Breton,Ozone,2026-02-13T23:00:00-07:00,WCAS
0.004,Breton,Nitrogen Dioxide,2026-02-13T23:00:00-07:00,WCAS
0.003,Breton,Total Oxides of Nitrogen,2026-02-13T23:00:00-07:00,WCAS
103.0,Breton,Wind Direction,2026-02-13T22:00:00-07:00,WCAS
0.0,Breton,Nitric Oxide,2026-02-13T22:00:00-07:00,WCAS
0.0,Breton,Sulphur Dioxide,2026-02-13T22:00:00-07:00,WCAS
-4.1,Breton,Outdoor Temperature,2026-02-13T22:00:00-07:00,WCAS
0.033,Breton,Ozone,2026-02-13T22:00:00-07:00,WCAS
0.002,Breton,Total Oxides of Nitrogen,2026-02-13T22:00:00-07:00,WCAS
0.002,Breton,Nitrogen Dioxide,2026-02-13T22:00:00-07:00,WCAS
2.1,Breton,Wind Speed,2026-02-13T22:00:00-07:00,WCAS
69.8,Breton,Relative Humidity,2026-02-13T22:00:00-07:00,WCAS
0.003,Breton,Nitrogen Dioxide,2026-02-13T21:00:00-07:00,WCAS
0.0,Breton,Sulphur Dioxide,2026-02-13T21:00:00-07:00,WCAS
0.036,Breton,Ozone,2026-02-13T21:00:00-07:00,WCAS
-3.0,Breton,Outdoor Temperature,2026-02-13T21:00:00-07:00,WCAS
61.0,Breton,Wind Direction,2026-02-13T21:00:00-07:00,WCAS
0.002,Breton,Total Oxides of Nitrogen,2026-02-13T21:00:00-07:00,WCAS
4.1,Breton,Wind Speed,2026-02-13T21:00:00-07:00,WCAS
66.0,Breton,Relative Humidity,2026-02-13T21:00:00-07:00,WCAS
0.0,Breton,Nitric Oxide,2026-02-13T21:00:00-07:00,WCAS
0.038,Breton,Ozone,2026-02-13T20:00:00-07:00,WCAS
-0.6,Breton,Outdoor Temperature,2026-02-13T20:00:00-07:00,WCAS
54.7,Breton,Relative Humidity,2026-02-13T20:00:00-07:00,WCAS
0.002,Breton,Total Oxides of Nitrogen,2026-02-13T20:00:00-07:00,WCAS
0.0,Breton,Nitric Oxide,2026-02-13T20:00:00-07:00,WCAS
2.3,Breton,Wind Speed,2026-02-13T20:00:00-07:00,WCAS
126.0,Breton,Wind Direction,2026-02-13T20:00:00-07:00,WCAS
0.003,Breton,Nitrogen Dioxide,2026-02-13T20:00:00-07:00,WCAS
0.0,Breton,Sulphur Dioxide,2026-02-13T20:00:00-07:00,WCAS
0.0,Breton,Nitric Oxide,2026-02-13T19:00:00-07:00,WCAS
0.002,Breton,Total Oxides of Nitrogen,2026-02-13T19:00:00-07:00,WCAS
0.9,Breton,Outdoor Temperature,2026-02-13T19:00:00-07:00,WCAS
50.0,Breton,Relative Humidity,2026-02-13T19:00:00-07:00,WCAS
4.2,Breton,Wind Speed,2026-02-13T19:00:00-07:00,WCAS
0.04,Breton,Ozone,2026-02-13T19:00:00-07:00,WCAS
104.0,Breton,Wind Direction,2026-02-13T19:00:00-07:00,WCAS
0.002,Breton,Nitrogen Dioxide,2026-02-13T19:00:00-07:00,WCAS
0.0,Breton,Sulphur Dioxide,2026-02-13T19:00:00-07:00,WCAS
0.0,Breton,Nitric Oxide,2026-02-13T18:00:00-07:00,WCAS
4.7,Breton,Wind Speed,2026-02-13T18:00:00-07:00,WCAS
35.7,Breton,Relative Humidity,2026-02-13T18:00:00-07:00,WCAS
114.0,Breton,Wind Direction,2026-02-13T18:00:00-07:00,WCAS
